count,lat,lng,time
1.0,30.834024865260307,121.46336748162764,2019-07-19-12-48-00
1.0,30.834040151076653,121.46913568484604,2019-07-19-12-48-00
1.0,30.83404083254803,121.46938649660483,2019-07-19-12-48-00
1.0,30.834172810032808,121.51454444613651,2019-07-19-12-48-00
1.0,30.834186210452117,121.5193106246711,2019-07-19-12-48-00
1.0,30.83419172849601,121.52131729960419,2019-07-19-12-48-00
1.0,30.834193095360707,121.52181895432,2019-07-19-12-48-00
1.0,30.834194456980995,121.52232060321329,2019-07-19-12-48-00
1.0,30.834280612892318,121.465624472676,2019-07-19-12-48-00
1.0,30.83440378347429,121.50802168920256,2019-07-19-12-48-00
1.0,30.834438147321958,121.5200631173289,2019-07-19-12-48-00
1.0,30.8344429536832,121.52181893361634,2019-07-19-12-48-00
2.0,30.834444315303323,121.52232058251379,2019-07-19-12-48-00
1.0,30.834486304766802,121.4470718803085,2019-07-19-12-48-00
2.0,30.834493294718424,121.4503301995132,2019-07-19-12-48-00
1.0,30.83449384728082,121.45058085713036,2019-07-19-12-48-00
1.0,30.83453379538374,121.46687841008344,2019-07-19-12-48-00
1.0,30.83459754046875,121.48920444148504,2019-07-19-12-48-00
1.0,30.834632827118266,121.50099667868157,2019-07-19-12-48-00
1.0,30.834669658315004,121.51354094681946,2019-07-19-12-48-00
1.0,30.834675379552454,121.51554784551531,2019-07-19-12-48-00
1.0,30.834683139013528,121.51830721361887,2019-07-19-12-48-00
1.0,30.834684535384124,121.51880890100571,2019-07-19-12-48-00
1.0,30.83468800561877,121.52006309661046,2019-07-19-12-48-00
1.0,30.83468869602403,121.52031393170262,2019-07-19-12-48-00
1.0,30.834692129197023,121.52156808627159,2019-07-19-12-48-00
1.0,30.83469755410128,121.52357465789457,2019-07-19-12-48-00
1.0,30.834785665369132,121.46763078475249,2019-07-19-12-48-00
1.0,30.834815722067198,121.47841660490785,2019-07-19-12-48-00
1.0,30.834923813356337,121.51504610646566,2019-07-19-12-48-00
2.0,30.834925237824553,121.51554782475833,2019-07-19-12-48-00
1.0,30.834932297373385,121.51805634728532,2019-07-19-12-48-00
1.0,30.834936479402,121.51956140163355,2019-07-19-12-48-00
1.0,30.834937863889365,121.52006307589183,2019-07-19-12-48-00
1.0,30.834938554294546,121.52031391098608,2019-07-19-12-48-00
1.0,30.83494061801542,121.52106640796619,2019-07-19-12-48-00
1.0,30.834941303385246,121.52131723748023,2019-07-19-12-48-00
1.0,30.834941987467122,121.5215680655655,2019-07-19-12-48-00
1.0,30.834942670249447,121.5218188922085,2019-07-19-12-48-00
1.0,30.834963130046678,121.52959373105014,2019-07-19-12-48-00
1.0,30.835100250594046,121.4902079776264,2019-07-19-12-48-00
1.0,30.835131045118654,121.50049484020624,2019-07-19-12-48-00
1.0,30.835133292496142,121.50124753487815,2019-07-19-12-48-00
