FID,Id,x,y
0,0,121.48615482300,30.86827941420
1,0,121.55352846900,30.86827941420
2,0,121.62090211600,30.86827941420
3,0,121.68827576200,30.86827941420
4,0,121.75564940800,30.86827941420
5,0,121.82302305400,30.86827941420
6,0,121.89039670100,30.86827941420
7,0,121.95777034700,30.86827941420
8,0,121.48615482300,30.92609207080
9,0,121.55352846900,30.92609207080
10,0,121.62090211600,30.92609207080
11,0,121.68827576200,30.92609207080
12,0,121.75564940800,30.92609207080
13,0,121.82302305400,30.92609207080
14,0,121.89039670100,30.92609207080
15,0,121.95777034700,30.92609207080
16,0,121.48615482300,30.98386980020
17,0,121.55352846900,30.98386980020
18,0,121.62090211600,30.98386980020
19,0,121.68827576200,30.98386980020
